radius_km,window_days,treatment_col,mediator_col,n_cells,n_event_cells,total_effect,total_pval,direct_effect,direct_pval,indirect_diff,indirect_product,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag
3,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,3715,2.374753094189777e-09,0.0468371844291013,2.422441642934134e-09,0.045608924765170096,-4.7688548744357016e-11,-4.768854874561356e-11,6.024595703296419e-05,7.196867942849067e-05,-7.91564298987238e-07,0.5948176538478269,0.007877766128651209,False
3,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,3715,1.5827939550025053e-09,0.02442941130651349,1.6163148107853992e-09,0.02269241079720147,-3.352085578289387e-11,-3.3520855783356636e-11,2.9414424991643494e-05,0.0017265428752985853,-1.1396060195934395e-06,0.4828277488458592,0.008127614010553064,False
4,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,5791,1.0325016275377288e-08,0.13709693490957936,8.44766253542071e-09,0.22364262094977116,1.8773537399565784e-09,1.877353739957488e-09,0.00046880558666954095,4.399803882606025e-11,4.004546433190922e-06,0.20261023066518646,0.010256815397932106,False
4,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,5791,4.8397932994378895e-09,0.08453794156641473,4.841703202978551e-09,0.08417748387028003,-1.9099035406614288e-12,-1.9099035416329e-12,0.00013035233733289087,4.6369374178723317e-07,-1.4651854970236792e-08,0.9948093214860287,0.00992674364650925,False
4,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,5791,3.050945974078612e-09,0.06332155943906395,3.0416217041664767e-09,0.06334566015839556,9.32426991213514e-12,9.324269911952893e-12,6.004243333273078e-05,7.511480728409289e-05,1.552946706920017e-07,0.9450753923804812,0.009884104871995536,False
4,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,5791,2.0661844240465004e-09,0.035762416111283904,2.068578147149662e-09,0.033723043508443684,-2.3937231031615083e-12,-2.3937231065390265e-12,2.92197590130528e-05,0.0018473613887594268,-8.192138427526808e-08,0.9748253952257486,0.01016611148806601,False
5,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,7898,1.3207905046974653e-08,0.10975761394273918,1.1088468501764467e-08,0.17590858165393253,2.119436545210186e-09,2.119436545221026e-09,0.00046988890528712517,5.870376218465232e-11,4.510505613930055e-06,0.23072361313993406,0.01235468549469343,False
5,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,7898,6.117781520506574e-09,0.06849209256279457,6.1471516503982196e-09,0.06576221133303574,-2.9370129891645785e-11,-2.9370129889103316e-11,0.00013095939999243587,5.481046489097772e-07,-2.2426897107652996e-07,0.9367488026375019,0.01211570431921305,False
5,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,7898,3.791082115113178e-09,0.05467002958095079,3.804376564335861e-09,0.052628913062979225,-1.3294449222682904e-11,-1.3294449221937975e-11,6.043010592959862e-05,7.82842138359695e-05,-2.199971192740598e-07,0.9395849886794372,0.012157095850321875,False
5,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,7898,2.5266275156152422e-09,0.03147214882523433,2.5393647207346387e-09,0.02897265188236999,-1.2737205119396447e-11,-1.2737205125021798e-11,2.9485082058563242e-05,0.0017907252869578526,-4.319881185924181e-07,0.8971796070387452,0.012431970094822886,False
6,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,10379,1.6326416411774122e-08,0.08657039589417022,1.4668298561650815e-08,0.12195140529548204,1.6581178501233072e-09,1.6581178501341474e-09,0.00047009720184849673,6.287407649413974e-11,3.5271808545427733e-06,0.44104416393107515,0.015045553996440808,False
6,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,10379,7.590605823811411e-09,0.049393711853056674,7.774605713992953e-09,0.043498758099641106,-1.8399989018154165e-10,-1.8399989017812152e-10,0.0001310048557493716,5.534605789274851e-07,-1.404527253021338e-06,0.677803135822982,0.014823394202042595,False
6,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,10379,4.7195470523285835e-09,0.03804518324691037,4.781585464467504e-09,0.03480973678966139,-6.203841213892081e-11,-6.203841213496673e-11,6.04166578908293e-05,7.767526853196377e-05,-1.0268428327675438e-06,0.7649162134731247,0.014956606300393971,False
6,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,10379,3.08306227713434e-09,0.02295438837234498,3.108540582592918e-09,0.02033208982663151,-2.5478305458578174e-11,-2.5478305466658815e-11,2.947439205629999e-05,0.0017815880016393794,-8.64421746782491e-07,0.8275417071720805,0.015248388153035086,False
7,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,13191,1.798314753105825e-08,0.07913316937719855,1.674014188040114e-08,0.09809630983911274,1.2430056506571082e-09,1.243005650656441e-09,0.0004703977486946807,6.61793293111542e-11,2.6424566318731127e-06,0.6383967937278833,0.018392745619212225,False
7,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,13191,8.465627642141191e-09,0.04125904063122824,8.842113662499984e-09,0.03244197110510432,-3.7648602035879317e-10,-3.7648602034961643e-10,0.0001310343029981437,5.578233003017131e-07,-2.873186728477885e-06,0.4765308933133915,0.01808482240435816,False
7,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,13191,5.334842926522542e-09,0.0277856291994225,5.469085275792776e-09,0.023692258574570458,-1.3424234927023404e-10,-1.3424234927099127e-10,6.040329927873371e-05,7.778159412529827e-05,-2.2224340536685583e-06,0.5811687500235696,0.018205325730651145,False
7,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,13191,3.422267684159435e-09,0.017484760964813852,3.4659758855627705e-09,0.014910882448367423,-4.370820140333537e-11,-4.3708201416479027e-11,2.9451407425463064e-05,0.0017885603473726719,-1.4840785292552723e-06,0.7428280375451137,0.01849842695040449,False
8,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,16393,1.821825119330441e-08,0.0928310335569057,1.792380414155267e-08,0.09504019872535004,2.944470517517372e-10,2.944470517395442e-10,0.00047119782141770596,6.972247916181154e-11,6.248905201930544e-07,0.9261457520740308,0.021695233089182864,False
8,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,16393,8.852688235920894e-09,0.04203154842334031,9.558194975334228e-09,0.027861064094225327,-7.055067394133345e-10,-7.055067394079079e-10,0.000131105633384075,6.153856490812179e-07,-5.3812084286349485e-06,0.25637096848502205,0.021425597381120043,False
8,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,16393,5.580329771636582e-09,0.027997343533794957,5.8262562508024845e-09,0.02180189422826137,-2.4592647916590274e-10,-2.459264791610035e-10,6.0387108659217545e-05,8.470252366180274e-05,-4.072499654667024e-06,0.3754042019879208,0.02152776997168504,False
8,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,16393,3.6282236726034696e-09,0.015326311691536474,3.7099538368821223e-09,0.012499575846298728,-8.17301642786527e-11,-8.173016429354586e-11,2.9426037514987254e-05,0.001894434662685549,-2.777477744053004e-06,0.5761487051806563,0.021830134323923667,False
9,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,20072,1.5351796896561927e-08,0.17800560632740736,1.6060586451906855e-08,0.15503947572657567,-7.087895553449283e-10,-7.087895553425676e-10,0.0004716312759040625,6.7593150326371e-11,-1.5028468033293597e-06,0.8427996428267241,0.02540410906053625,False
