radius_km,window_days,shift_pct,treatment_col,n,n_clusters,psi,se_iid,se_cluster,ci_low,ci_high,pval,epsilon,psi_under_shift,psi_no_shift,mean_H,max_H,elapsed_sec
11,365,0.1,cum_vol_365d_BBL,451212,389,0.0019927986895865724,0.005978074334179886,0.00800261750409871,-0.01369204340049672,0.017677640779669865,0.8033465791593786,0.00012063886245150363,0.13986500768584414,0.13787220899625757,1.1918459106258277,519.6085195965046,436.08074951171875
12,365,0.1,cum_vol_365d_BBL,451212,389,0.0016046734197400492,0.006782236495105809,0.005856738056915847,-0.009874322238700108,0.013083669078180206,0.7840941751176458,3.8564513581338424e-06,0.15818379860890452,0.15657912518916448,1.189186769288344,687.0602786913585,433.67429852485657
13,365,0.1,cum_vol_365d_BBL,451212,389,0.0017891924250931224,0.005839812769168026,0.0066085295527180425,-0.011163287489002834,0.014741672339189079,0.7865911105819943,2.1791612434131324e-05,0.17611902580540031,0.1743298333803072,1.1841805482172516,568.4704873295573,441.95310711860657
14,365,0.1,cum_vol_365d_BBL,451212,389,0.002827792910140514,0.006099957441404284,0.01190135704676532,-0.020498438268671492,0.02615402408895252,0.8121893642354583,0.0005233171679487403,0.1962160257992469,0.1933882328891064,1.2105575422283021,471.7649441587333,442.00503063201904
15,365,0.1,cum_vol_365d_BBL,451212,389,0.0022542683111044792,0.004036548994759159,0.009759720250501893,-0.016874431879065465,0.021382968501274423,0.8173328766934995,0.0002253656247191324,0.21515045641607178,0.2128961881049673,1.1787445764136244,283.8087720244042,432.8838346004486
16,365,0.1,cum_vol_365d_BBL,451212,389,0.0023677190614677657,0.003469897559178043,0.009975220083217681,-0.01718335303949953,0.021918791162435062,0.8123774544958087,0.00018340719800617899,0.23628038583321734,0.23391266677174957,1.1597351706828616,220.85433665361748,437.4138491153717
17,365,0.1,cum_vol_365d_BBL,451212,389,0.0032255746500265414,0.0053605142049230016,0.01181480038734211,-0.019931008593693875,0.026382157893746958,0.7848444878419898,0.0006094996971754193,0.25854760183957853,0.255322027189552,1.170812047064932,402.0773550655632,215.35721850395203
18,365,0.1,cum_vol_365d_BBL,451212,389,0.0028571869495292446,0.0034421406278225745,0.00973139760583874,-0.016216001877153993,0.02193037577621248,0.7690597581507546,0.0003455029226931542,0.2803989589085689,0.2775417719590397,1.1610119070529261,179.87029885173695,238.56552910804749
19,365,0.1,cum_vol_365d_BBL,451212,389,0.002483306286426623,0.0029794663274246925,0.006921693731366132,-0.011082964139067656,0.0160495767119209,0.7197660517462523,0.00012274165691009663,0.30016525374128616,0.29768194745485954,1.1458156603961944,178.18017729953098,205.57748079299927
20,365,0.1,cum_vol_365d_BBL,451212,389,0.0035502414790073433,0.0038096866594075993,0.011297508091624763,-0.01859246749562703,0.025692950453641717,0.7533311996518239,0.0006639132605790786,0.3220788857490183,0.31852864427001093,1.155878475582542,264.91818027666056,224.72350144386292
