radius_km,window_days,a_star,psi,se_iid,se_cluster,ci_low,ci_high,epsilon,n_in_bin
13,365,100000.0,0.17283536371873565,0.0037586933643692553,0.00759401645058074,0.1579513649775927,0.18771936245987858,-0.0001248872041126392,2949
13,365,1000000.0,0.16925519501302616,0.005513844878895379,0.009529386324465297,0.15057794102230565,0.18793244900374667,4.76628767990342e-05,2949
13,365,10000000.0,0.18537947738148963,0.0020824483654564327,0.008241967269225738,0.16922551837204924,0.20153343639093002,0.00023662725300414348,2949
13,365,100000000.0,0.2054402812598662,0.00027806882740087163,0.00751766379004432,0.19070593098349845,0.22017463153623393,0.0023818536777957078,2950
16,365,10000.0,0.21054419691026016,0.0024199736199763343,0.007268022925346152,0.19629913373777025,0.22478926008275008,-0.000539100866007952,2949
16,365,100000.0,0.22007774989947193,0.004265477296551386,0.008122542802697892,0.20415785854329904,0.23599764125564482,-9.991649998393229e-05,2949
16,365,1000000.0,0.2268307363739641,0.006110187106995976,0.010822289659884556,0.20561943841033012,0.24804203433759806,0.00010054366714622875,2949
16,365,10000000.0,0.24969387893450598,0.00301088915661828,0.009747192084470085,0.23058973349855072,0.26879802437046124,0.0006402353133161916,2949
16,365,100000000.0,0.25928215524991355,0.0003003405800896409,0.008191802729772255,0.24322651693110303,0.27533779356872407,-0.002949198331324055,2950
17,365,10000.0,0.22574909415386674,0.002609318014175871,0.007112471630096724,0.21180890591781426,0.2396892823899192,-0.0005401738193768753,2949
17,365,100000.0,0.2342230100810296,0.004463286691643805,0.008435936973927324,0.21768887743628224,0.250757142725777,-0.00011559061765606656,2949
17,365,1000000.0,0.2458882566025244,0.006773318920715552,0.01158964484667575,0.22317297010942969,0.26860354309561907,0.00027909497969876316,2949
17,365,10000000.0,0.27374126477199157,0.0031275654615958736,0.009662732754794795,0.2548026565803583,0.29267987296362485,0.0005125132563379294,2949
17,365,100000000.0,0.306200496121811,0.0003140752950742297,0.008658621477325186,0.28922990987048863,0.32317108237313336,0.002106381723955467,2950
18,365,10000.0,0.24830819457033065,0.003325083146482792,0.00809784524441302,0.2324367095389022,0.26417967960175914,-0.0005758680584844389,2949
18,365,100000.0,0.25647567386811176,0.004327295803040134,0.008231322392754497,0.24034257843317489,0.2726087693030486,-0.00013589307260334193,2949
18,365,1000000.0,0.26605074112737825,0.007124527843920941,0.012213192493449447,0.2421133237039624,0.28998815855079413,0.0003442034376758943,2949
18,365,10000000.0,0.2933906612574948,0.0030728976779281643,0.009965043906573995,0.27385953409624947,0.31292178841874013,0.0004915669186756548,2949
18,365,100000000.0,0.3643198285396694,0.00034539952626345315,0.00965845344543623,0.34538960764025756,0.3832500494390812,0.005236562474149423,2950
19,365,10000.0,0.2597325323735524,0.002641768840534685,0.0073583530088614235,0.2453104254906521,0.2741546392564528,-0.0007396237933788055,2949
19,365,100000.0,0.27399274035241106,0.0046715567329492814,0.008579357680227518,0.257177508288678,0.2908079724161441,-0.00018805050575943484,2949
19,365,1000000.0,0.28560819279985517,0.007279139831766628,0.01281292125619338,0.2604953286009684,0.3107210569987419,0.0003030615968209125,2949
19,365,10000000.0,0.3148750360518384,0.00296876601882688,0.010134506270511035,0.29501176876054147,0.33473830334313537,0.00030622613589010363,2949
19,365,100000000.0,0.36171160381354067,0.00035035746154250347,0.009421808335923387,0.34324519880589155,0.3801780088211898,0.005175219568201644,2950
20,365,10000.0,0.2696777670523786,0.0030697994517608876,0.00791920002057438,0.25415642022568397,0.28519911387907326,-0.0008011558226257367,2949
20,365,100000.0,0.2881932689681119,0.004599294226659624,0.008578885953021496,0.27137896147271323,0.3050075764635106,-0.0002539930715970869,2949
20,365,1000000.0,0.3059745496360793,0.007388976249506262,0.012839620769375816,0.2808093553529502,0.33113974391920836,0.00033256258101666783,2949
20,365,10000000.0,0.33787609327635676,0.0026198750132489816,0.010233411873255722,0.317818974565811,0.35793321198690253,0.00029177428604085627,2949
20,365,100000000.0,0.3947393274271261,0.0003688668140793718,0.010134538163205793,0.374875997627296,0.41460265722695616,0.006625316280258378,2950
