radius_km,window_days,treatment_col,mediator_col,n,n_wells,total_effect,total_pval,direct_effect,direct_pval,indirect_diff,indirect_product,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag
4,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-4.23714094049946e-10,0.843366515731572,-1.8723660757352236e-09,0.3959429416198742,1.4486519816852776e-09,1.4486519816722954e-09,0.00038635071546628196,5.0066210461255506e-23,3.749577582440698e-06,0.1955673365114191,0.008720379076200158,False
4,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-1.6861877398063654e-10,0.8981802455672065,-9.68608467668146e-10,0.4578475330983567,7.999896936875095e-10,7.999896936862521e-10,0.00019676072842634207,8.536147341476894e-22,4.065799614000365e-06,0.18144454743378668,0.008610837625572132,False
4,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,8.118372438979568e-11,0.9220985579818067,-3.3947750528769275e-10,0.6715619925659104,4.2066122967748845e-10,4.2066122967920475e-10,9.619085322535065e-05,6.566444258581822e-17,4.373193662121935e-06,0.1595975176519121,0.00859338026455958,False
5,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-4.30234875584356e-10,0.9497196108068519,-6.176300297698396e-09,0.3626712632774979,5.74606542211404e-09,5.746065422093339e-09,0.0010426486966929795,2.8713484164414304e-11,5.511027290705315e-06,0.10105637672484555,0.010738931123660977,False
5,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-4.5565660731844103e-10,0.8786928126034904,-2.6090107900164066e-09,0.3776399568693364,2.1533541826979656e-09,2.153354182685353e-09,0.00038570374707990666,8.151455874990578e-23,5.582922642022558e-06,0.12448908325291333,0.010487278450830972,False
5,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-4.8932820873251786e-11,0.978256381021954,-1.1419847996573244e-09,0.508487871001736,1.0930519787840726e-09,1.0930519787870736e-09,0.00019647370046380237,1.3338769336622105e-21,5.563350088112448e-06,0.14728104283706092,0.010448928253503409,False
5,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,2.870295510425659e-10,0.7952533432842159,-2.6348266057488496e-10,0.7993942601779418,5.505122116174509e-10,5.505122116173872e-10,9.604126223952732e-05,9.069349187501312e-17,5.7320384882531775e-06,0.14976316349503432,0.010416250072366906,False
6,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-2.6592381778721736e-09,0.7537292034910474,-8.261165875773566e-09,0.318884736952896,5.601927697901393e-09,5.601927697890159e-09,0.0010433656468991147,2.7290017102234128e-11,5.369093485624241e-06,0.16393805779313197,0.013706988918433805,True
6,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-1.3695746171011178e-09,0.7087265659005411,-3.514860571594304e-09,0.32887814686425365,2.145285954493186e-09,2.1452859544820427e-09,0.0003859711552688694,6.483704599718668e-23,5.558150978892777e-06,0.18677844842250568,0.0134985822571565,True
6,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-4.850749134383244e-10,0.8246724299363816,-1.5737944558149717e-09,0.4531543488806977,1.0887195423766474e-09,1.0887195423688523e-09,0.00019669675015982516,9.609989438692661e-22,5.535015405614061e-06,0.21919731844300172,0.01343820678983687,False
6,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,1.744734287882249e-10,0.8959908268271747,-3.803978387034507e-10,0.7599572482013216,5.548712674916755e-10,5.548712674909905e-10,9.62685990214172e-05,5.966829741019934e-17,5.763782511964742e-06,0.22858363433091944,0.013349355600379642,False
7,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-1.9368250670506375e-09,0.850915324257279,-7.910308336567792e-09,0.42741620061878793,5.973483269517155e-09,5.973483269507104e-09,0.001043624074140524,2.699471818640383e-11,5.723788304161691e-06,0.19386464184684904,0.017397289630781354,True
7,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-1.1136919284615022e-09,0.8021705114413934,-3.279842563259919e-09,0.45138582473764266,2.166150634798417e-09,2.166150634783346e-09,0.0003862386810637371,6.271734305686207e-23,5.608321333372325e-06,0.24134878934503345,0.017052636013761502,True
7,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-2.7763293732940967e-10,0.9158413071313374,-1.3689176769156303e-09,0.5885425589441999,1.0912847395862207e-09,1.0912847395876908e-09,0.00019686725723630234,9.503564328863826e-22,5.543251604698325e-06,0.2792017710847061,0.01684686117660006,False
7,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,3.7546678547487503e-10,0.8149969234440653,-2.1026993879356977e-10,0.8893792028677736,5.857367242684449e-10,5.857367242694242e-10,9.637453456252202e-05,5.740749205114611e-17,6.077712612862823e-06,0.2639228975434329,0.01664736856104221,False
8,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-2.0762306307412528e-09,0.8591472052450835,-6.407240241835295e-09,0.5760223905808414,4.331009611094043e-09,4.331009611065971e-09,0.0010461255106339292,3.041276935590147e-11,4.140047792584155e-06,0.4058408217516013,0.021149198461687946,True
8,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-1.2849024398550247e-09,0.7987301939882906,-2.7462227562221333e-09,0.5831385634428277,1.4613203163671086e-09,1.4613203163399817e-09,0.000387589265762301,7.604921749938637e-23,3.770280669321151e-06,0.4811496859695015,0.020738618426780486,True
8,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-2.5398970280092007e-10,0.9317130470478799,-9.862911142373225e-10,0.7339502558752418,7.323014114364025e-10,7.323014114337202e-10,0.00019770396808246757,9.830915442888107e-22,3.704029911672071e-06,0.5167323622869993,0.020446050791505188,False
8,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,4.5535356425377565e-10,0.7995701409123877,3.796090087548881e-11,0.9823807897394154,4.1739266337828684e-10,4.1739266337986283e-10,9.68496738943273e-05,5.3740873390804016e-17,4.309696115603652e-06,0.47644076051171025,0.02014473530582117,False
9,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-4.020157852411702e-09,0.7539053299529406,-6.975874832359432e-09,0.5792608154210648,2.95571697994773e-09,2.9557169799187407e-09,0.0010479362158357882,3.0946656351568474e-11,2.820512293834019e-06,0.6087847681838491,0.023785361001552707,False
9,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-2.1645961931914815e-09,0.696522843687511,-2.9758426120122825e-09,0.5901601670857366,8.112464188208009e-10,8.112464188052873e-10,0.0003883387375590284,7.553378152358113e-23,2.089017500300175e-06,0.722415925092915,0.023382997389262195,False
9,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-7.313269028892416e-10,0.8224963410540401,-1.0709307228208754e-09,0.738341612360552,3.3960381993163373e-10,3.3960381993801274e-10,0.00019817567559484635,9.098555972079593e-22,1.713650370655501e-06,0.7836589518167653,0.023082273576303103,False
9,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,2.783568788624057e-10,0.8869680784816486,8.179459871146853e-11,0.9655178094616251,1.9656228015093719e-10,1.965622801441071e-10,9.715276448586027e-05,4.754057282121135e-17,2.02322889301534e-06,0.7615657755492287,0.0227349856165725,False
10,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-5.451251728601665e-09,0.6957350507127993,-8.198620556476963e-09,0.5478205668952568,2.7473688278752982e-09,2.747368827839344e-09,0.001048743401744145,3.0943955429036955e-11,2.6196768659237783e-06,0.6619700311629975,0.024727512067691304,False
10,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-2.344479323848767e-09,0.6977247847417245,-2.777832290916853e-09,0.6432016092484685,4.333529670680858e-10,4.333529670555975e-10,0.0003888085969293105,7.108692422062487e-23,1.1145663199787366e-06,0.8618611921177532,0.024301534718579543,False
10,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-7.494029439999578e-10,0.8337230683008156,-8.166547768731234e-10,0.8162784963903106,6.725183287316567e-11,6.725183288068451e-11,0.0001984926229026404,8.318819628238415e-22,3.3881275735708923e-07,0.9605940079355183,0.02393623485097407,False
10,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,3.413950083846747e-10,0.8721817091050655,3.0705802533196486e-10,0.8814294924069288,3.433698305270984e-11,3.43369830485947e-11,9.735394279715049e-05,4.392675635279808e-17,3.5270254148966766e-07,0.9619313704623463,0.0235402369244071,False
11,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-9.40808098583305e-09,0.5228050116059516,-1.2797088180585161e-08,0.38156782603204575,3.389007194752112e-09,3.389007194696712e-09,0.0010472878098486773,3.118966641375255e-11,3.2359845716015637e-06,0.6165667962304081,0.02559626659175418,False
11,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-3.864991817696324e-09,0.5466637715542624,-4.459878607478703e-09,0.48815461698498097,5.948867897823789e-10,5.948867897521994e-10,0.00038826296440874146,7.154606641235455e-23,1.5321749543073492e-06,0.8233537020409798,0.025147400878128612,False
11,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-1.7532028180827145e-09,0.643625107236246,-1.8881316291116934e-09,0.615928942286323,1.3492881102897891e-10,1.3492881102755857e-10,0.00019820136921340487,8.472260710199527e-22,6.807662911868168e-07,0.9263077587985868,0.02474791869936399,False
11,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-3.5109099045850977e-10,0.8749732115275625,-4.669261098728568e-10,0.8304017843565543,1.1583511941434699e-10,1.1583511939975096e-10,9.719286160671681e-05,4.609726232690028e-17,1.1918068619943362e-06,0.8807973251789547,0.024357185390608604,False
12,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-1.2310739030990771e-08,0.421524902871407,-1.531173603005908e-08,0.32081586678413576,3.0009969990683073e-09,3.0009969990909336e-09,0.0010468690142668106,3.2567278918933214e-11,2.8666403897652126e-06,0.6798874657079249,0.026113240769639612,False
12,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-5.4410446300463265e-09,0.4134406383101158,-5.8851779631061845e-09,0.38278203527293375,4.4413333305985807e-10,4.4413333300063633e-10,0.0003884239421353138,7.15071237137985e-23,1.143424194088209e-06,0.8765873468582556,0.025685512415391853,False
12,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-2.6734065672061226e-09,0.4969156136934292,-2.7696215086486012e-09,0.48193257006605683,9.62149414424786e-11,9.621494143927908e-11,0.00019840401706440713,7.741082763301822e-22,4.849445231143944e-07,0.9509032479859305,0.02526691062817865,False
12,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-7.343175724644177e-10,0.750476207786443,-8.268415924430254e-10,0.7158496212431527,9.252401997860769e-11,9.252401997465233e-11,9.73261615023784e-05,4.137694143630006e-17,9.506592939288095e-07,0.9105094178061863,0.024814713657397958,False
13,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-1.4342827791591806e-08,0.3668211886208085,-1.7478070410101618e-08,0.27637690012004656,3.1352426185098115e-09,3.135242618491524e-09,0.0010475270598076453,3.3988020849506125e-11,2.9929943948820194e-06,0.6780909564587003,0.027124664876436277,False
13,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-5.901622736648015e-09,0.3912678003800777,-6.417969621455062e-09,0.35884481020086934,5.163468848070472e-10,5.163468847673369e-10,0.00038895374955439006,7.42929156785422e-23,1.327527721120818e-06,0.8622109608391905,0.02675226433270783,False
13,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-3.0817493422527792e-09,0.4487911483965795,-3.25351771382372e-09,0.4263481264684651,1.7176837157094057e-10,1.7176837157541722e-10,0.00019877907752559104,7.73875496469236e-22,8.641169569433362e-07,0.9157960560723803,0.026325307211448434,False
13,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-1.0186467610490876e-09,0.6676634251926319,-1.1553623860468558e-09,0.6226200113616299,1.3671562499776824e-10,1.367156249907297e-10,9.756029419742535e-05,4.058772646170633e-17,1.401344943815654e-06,0.8731476809682029,0.02584291965497376,False
14,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-1.5945246090775188e-08,0.32655636755387707,-2.1876214025002142e-08,0.18531406802457684,5.930967934226954e-09,5.930967934181296e-09,0.0010502224736608418,3.3751771630617316e-11,5.647344332203501e-06,0.4477730738287121,0.02802199882755252,False
14,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-7.052434838035383e-09,0.31568795475310096,-8.566740961324896e-09,0.2317585891493833,1.5143061232895128e-09,1.5143061232658453e-09,0.000390165653252196,6.223817950076282e-23,3.881187671552999e-06,0.6229333353064718,0.027756073132642944,False
14,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-3.719411422444377e-09,0.37148401112583673,-4.374843669087286e-09,0.2970510258490606,6.554322466429094e-10,6.554322466305254e-10,0.00019950509197243043,5.870538616763509e-22,3.2852908171441533e-06,0.6968381690283374,0.02732022376476806,False
14,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-1.3797732199309833e-09,0.5683923944131362,-1.7572601904498514e-09,0.46488643305154453,3.774869705188681e-10,3.774869705316656e-10,9.797707557596203e-05,3.120552043191342e-17,3.8528091220583365e-06,0.6705694723412962,0.026834025983835996,False
15,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-1.3117080934164811e-08,0.4398960122199357,-2.1170457815990497e-08,0.21995405791687261,8.053376881825686e-09,8.053376881821515e-09,0.0010511897978152463,3.3738355918789164e-11,7.661201524747819e-06,0.32933838404071014,0.028897705170429444,False
15,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-5.77420363682398e-09,0.4301172060040408,-7.938992015002866e-09,0.28666716226304556,2.1647883781788855e-09,2.164788378150146e-09,0.00039065245004973675,5.318111936290997e-23,5.541468837260668e-06,0.5068779684505785,0.02865051587887557,False
15,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-2.9403565108593798e-09,0.49654218357096325,-3.838436051322237e-09,0.3787159603831417,8.980795404628571e-10,8.980795404493515e-10,0.00019978761709839792,4.67075863546861e-22,4.495171189749142e-06,0.6136054518052001,0.028180336018473473,False
15,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-8.896656898114321e-10,0.7221271798819495,-1.311299635696858e-09,0.5999169493433567,4.2163394588542593e-10,4.216339458907963e-10,9.811375254675042e-05,2.6336084122439417e-17,4.29739903883394e-06,0.6520554266884884,0.027683475604803887,False
16,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-1.0433888424374905e-08,0.5669246027322363,-1.919085822530155e-08,0.30472718806781884,8.756969800926645e-09,8.756969800867629e-09,0.0010525678556177775,3.3054252864628646e-11,8.319624957317314e-06,0.3203192013260183,0.029786185768748696,False
16,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-4.364603283937387e-09,0.5788182576705347,-6.726573961140491e-09,0.40520888055005255,2.361970677203104e-09,2.3619706771357643e-09,0.00039118947147012814,4.703290798426854e-23,6.037919855714031e-06,0.4952378663759486,0.02950563163513087,False
16,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-2.3204211205536144e-09,0.6173585391547158,-3.2799079776709102e-09,0.4873049680862628,9.594868571172959e-10,9.59486857119364e-10,0.0002001007062842367,3.9596179999128906e-22,4.795019842440952e-06,0.6087292675329714,0.02902025797814589,False
16,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-4.4710984056354226e-10,0.8679219472567439,-8.53234722580111e-10,0.7528057874477173,4.061248820165687e-10,4.061248820317656e-10,9.828939187122589e-05,2.2770670718916985e-17,4.131929949916174e-06,0.6768501531339386,0.028485746065464834,False
17,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-6.861284638687021e-09,0.7255341016489831,-1.547921307626358e-08,0.4427941536606794,8.617928437576557e-09,8.617928437475302e-09,0.0010538175419382925,3.3231908211082463e-11,8.17781835518158e-06,0.34068383000718994,0.031055607893786252,True
17,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-2.3456707478968053e-09,0.780956172630497,-4.649001920536954e-09,0.5954223719260154,2.3033311726401485e-09,2.303331172568489e-09,0.0003918210241547259,4.072923433374378e-23,5.878528793949883e-06,0.5180740097559524,0.030781142639672354,False
17,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-1.152523207227967e-09,0.8171487911067883,-2.0304572079151184e-09,0.691605715535728,8.779340006871515e-10,8.779340006783345e-10,0.00020050680254849287,3.149559827104114e-22,4.3785746394614465e-06,0.6474598951645832,0.03026749597063716,False
17,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,4.341882616863781e-10,0.880098233014945,6.819890392555428e-11,0.9814080570194451,3.6598935776082383e-10,3.659893577601502e-10,9.853431634642383e-05,1.8374428321400192e-17,3.7143339633414252e-06,0.7133092234285006,0.029709865886296538,False
18,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,2.3457329609164953e-11,0.9991144132825944,-1.0799377740614088e-08,0.6250769437688584,1.0822835070223252e-08,1.0822835070123648e-08,0.0010550199286115218,3.239851403428557e-11,1.0258417662657081e-05,0.2706295321945842,0.03257827755576337,False
18,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,1.1214876090210263e-09,0.9016846346006471,-1.884089490843611e-09,0.8437300596964875,3.0055770998646375e-09,3.0055770997942704e-09,0.00039231917995785084,3.523476233772792e-23,7.661050627494627e-06,0.43618596832515943,0.03237734107768808,True
18,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,8.546134584835176e-10,0.8731691220297524,-3.119107669684199e-10,0.9552648249082389,1.1665242254519375e-09,1.1665242254857526e-09,0.00020078819489653373,2.614104142000207e-22,5.809725148865765e-06,0.5700394375509759,0.03183922069766609,False
18,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,1.7024913967460431e-09,0.5826233564499718,1.2238165696678666e-09,0.7004323099120986,4.786748270781766e-10,4.786748270718716e-10,9.868191519828785e-05,1.5946002853009885e-17,4.850684404635234e-06,0.6479223290480816,0.031269203226690134,False
19,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,4.298547070828652e-09,0.849835878478828,-7.640235625558379e-09,0.7494415890052496,1.1938782696387031e-08,1.1938782696316817e-08,0.0010553195063718892,3.228784352159414e-11,1.1312955578127683e-05,0.24688434392004588,0.03461303651785008,True
19,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,3.450075741982676e-09,0.7223744153223923,1.5561227710573853e-10,0.9879660292482142,3.2944634648769377e-09,3.294463464799921e-09,0.0003924932883203271,3.2202562167385535e-23,8.393681020377595e-06,0.41599035076170576,0.034399222854960554,False
19,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,2.303260508907167e-09,0.6870119738394123,1.1095629866837828e-09,0.8531237819213047,1.1936975222233844e-09,1.1936975222164367e-09,0.00020087662458238007,2.3503909205428135e-22,5.9424411610764496e-06,0.5764451519649705,0.03384589445266306,False
19,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,2.631141792770981e-09,0.4261510610053115,2.1337198807202223e-09,0.5343144705272775,4.974219120507587e-10,4.974219120409167e-10,9.87022753445062e-05,1.5185519452976157e-17,5.039619505272158e-06,0.6468975724121118,0.033249598259506574,False
20,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,1.2033191061447878e-08,0.617554406557772,-1.1299190561230844e-09,0.9646312401113406,1.3163110117570963e-08,1.3163110117500523e-08,0.0010558036818988656,3.1898335724274087e-11,1.246738417678809e-05,0.2191151931990586,0.03655341631580433,True
20,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,6.431765629086893e-09,0.5290311573622959,2.704944157333943e-09,0.8044310269803093,3.72682147175295e-09,3.726821471667628e-09,0.00039270103244352494,2.748228675035959e-23,9.490225804801237e-06,0.376097405996489,0.036374886982409094,False
20,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,4.05843442080753e-09,0.498943721076048,2.631117894887699e-09,0.6779241402103626,1.4273165259198312e-09,1.427316525916885e-09,0.0002009874541293378,1.9186548659721207e-22,7.101520500868626e-06,0.5200998191807551,0.035810627897862046,False
20,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,3.8201389961516325e-09,0.2710768704986487,3.2031747694604422e-09,0.37747740842827726,6.169642266911902e-10,6.169642267127106e-10,9.874082818838505e-05,1.320341322884132e-17,6.248319342993768e-06,0.5840793321846476,0.03521376516050856,False
