API Number,Nearest Fault Dist (km),Fault Segments <= 1 km,Fault Segments <= 2 km,Fault Segments <= 3 km,Fault Segments <= 4 km,Fault Segments <= 5 km,Fault Segments <= 6 km,Fault Segments <= 7 km,Fault Segments <= 8 km,Fault Segments <= 9 km,Fault Segments <= 10 km,Fault Segments <= 11 km,Fault Segments <= 12 km,Fault Segments <= 13 km,Fault Segments <= 14 km,Fault Segments <= 15 km,Fault Segments <= 16 km,Fault Segments <= 17 km,Fault Segments <= 18 km,Fault Segments <= 19 km,Fault Segments <= 20 km
31730599,0.8684131517161922,2,13,32,55,94,159,218,281,328,404,483,546,604,679,745,824,904,996,1077,1147
31730652,3.1545394618424534,0,0,0,9,20,29,35,41,47,53,59,81,101,116,130,161,186,224,251,296
31730700,3.6012508511648136,0,0,0,7,22,31,41,47,56,65,73,92,113,128,143,170,199,227,256,290
31731170,1.024311207614239,0,8,17,23,29,47,59,79,95,113,137,185,216,241,268,310,358,397,430,462
31731432,0.1588733653207159,6,15,22,35,46,57,80,109,139,186,233,294,346,402,462,516,577,658,747,833
31731433,1.1691470761505902,0,7,11,18,43,68,94,119,158,190,224,272,322,379,434,489,551,632,689,747
31731480,0.8682870778945755,2,7,10,21,40,70,96,120,147,188,228,263,319,381,436,490,553,636,700,758
31731498,4.84169036419399,0,0,0,0,1,12,26,54,75,105,127,145,167,193,218,252,281,324,360,395
31731523,0.3541902191065896,3,12,20,26,42,56,88,116,140,166,227,273,308,366,433,493,557,634,717,789
31731528,1.7346090914623118,0,5,9,21,51,69,88,119,154,185,210,263,318,372,429,484,546,618,687,741
31731601,0.22883613350292611,8,23,45,66,93,138,178,215,245,287,357,405,474,545,617,710,783,854,952,1034
31731616,1.14218944363459,0,9,13,19,23,29,35,40,46,67,88,100,127,151,172,200,237,277,319,356
31732123,0.7026369588551006,3,7,11,20,36,48,71,95,129,154,179,205,242,278,325,380,432,490,557,631
31732191,0.16523725235016706,4,12,32,49,70,84,112,134,167,208,237,272,308,339,377,408,464,545,613,683
